"id","score"
"e460v6",1
"e461ca",0
"e4621a",1
"e462ep",40
"e462v1",0
"e462vv",2
"e4648x",1
"e464nr",1058
"e464vl",20
"e466f4",4
"e466f8",0
"e46786",6
"e46919",471
"e469ns",8
"e46a1a",5
"e46aeb",1
"e46bem",5
"e46d7u",0
"e46f5i",1
"e46fdg",8
"e46g7f",1
"e46h6b",1
"e46hcb",2
"e46i4d",4
"e46iq6",1
"e46j62",2
"e46jca",3
"e46kz5",867
"e46ld3",0
"e46m4y",6
"e46n13",2
"e46nmo",1
"e46nod",2
"e46orm",3
"e46p9o",3
"e46q88",29
"e46qdx",3
"e46r5b",1
"e46s04",2
"e46t7l",0
"e46u7g",244
"e46u7l",0
"e46uyz",3
"e46uzc",1
"e46ve4",3
"e46w7u",0
"e46wth",1
"e46x7k",14
"e46xqb",0
"e47067",1
"e470ub",1
"e4721i",1
"e4727d",2
"e4734y",0
"e473aw",19
"e4764n",1
"e4778o",1
"e477i2",150
"e478bc",1286
"e479ho",1
"e47bko",0
"e47c8s",1
"e47cfy",10
"e47euu",1
"e47f61",1
"e47fby",1
"e47gh9",2
"e47hsn",3
"e47ig3",3
"e47ilw",13
"e47k3y",1
"e47kws",1
"e47m3u",1
"e47m70",1
"e47mc8",1
"e47mll",6
"e47mrg",1
"e47n3o",31
"e47nkp",0
"e47no0",1
"e47o77",0
"e47ppa",1
"e47q9l",0
"e47qfo",12
"e47qxt",1
"e47qzh",1
"e47rd6",1
"e47s8u",2
"e47s93",1
"e47syp",2
"e47t75",2
"e47t9c",3
"e47tjd",1
"e47vdk",1
"e47vig",1
"e47w1o",0
"e47w72",1
"e47xe9",50
"e47xr5",3
"e47xsw",1
"e47yl0",1
"e47yt5",0
"e47zul",3
"e4803a",1
"e4803u",100
"e4817e",4
"e481et",1
"e48229",0
"e482ug",369
"e4840y",10
"e484oy",146
"e485cy",0
"e485wq",13
"e486cd",3
"e486fg",0
"e486qr",1
"e486uk",1
"e486wt",1
"e487gs",0
"e48822",1
"e4882f",1
"e488o3",4
"e488on",3
"e489s6",9
"e489yn",422
"e48a2o",1
"e48aem",65
"e48b08",0
"e48cct",2
"e48czu",0
"e48dbb",0
"e48e4x",0
"e48ez2",4
"e48fxg",3
"e48g4s",1
"e48gev",5
"e48gmd",0
"e48gtl",1
"e48hkq",1
"e48ia3",1
"e48ifb",1
"e48iya",1
"e48k49",1
"e48l7b",1
"e48l8c",1
"e48lj9",4
"e48m8g",9
"e48max",594
"e48mq8",4
"e48nf3",161
"e48nh2",0
"e48nhz",11
"e48nvj",0
"e48oe3",5
"e48oj4",1
"e48p4p",1
"e48p9m",12
"e48pfm",2
"e48qr8",18
